"year","sightings"
"1945","6"
"1946","8"
"1947","34"
"1948","8"
"1949","15"
"1950","25"
"1951","20"
"1952","48"
"1953","34"
"1954","50"
"1955","31"
"1956","38"
"1957","67"
"1958","40"
"1959","47"
"1960","64"
"1961","39"
"1962","55"
"1963","75"
"1964","77"
"1965","167"
"1966","169"
"1967","178"
"1968","183"
"1969","138"
"1970","126"
"1971","110"
"1972","146"
"1973","209"
"1974","241"
"1975","279"
"1976","246"
"1977","239"
"1978","301"
"1979","221"
"1980","211"
"1981","146"
"1982","182"
"1983","132"
"1984","172"
"1985","192"
"1986","173"
"1987","193"
"1988","203"
"1989","220"
"1990","217"
"1991","210"
"1992","228"
"1993","285"
"1994","381"
"1995","1336"
"1996","862"
"1997","1248"
"1998","1812"
"1999","2906"
"2000","2780"
"2001","3105"
"2002","3176"
"2003","3896"
"2004","4208"
"2005","3996"
"2006","3590"
"2007","4195"
"2008","4705"
"2009","4297"
"2010","2531"
